Date,Power (kW)
2019-01-29 23:00:00,169.774
2019-01-30 00:00:00,161.114
2019-01-30 01:00:00,148.775
2019-01-30 02:00:00,139.184
2019-01-30 03:00:00,134.593
2019-01-30 04:00:00,131.157
2019-01-30 05:00:00,143.023
2019-01-30 06:00:00,172.328
2019-01-30 07:00:00,251.962
2019-01-30 08:00:00,415.001
2019-01-30 09:00:00,464.144
2019-01-30 10:00:00,461.461
2019-01-30 11:00:00,470.926
2019-01-30 12:00:00,468.207
2019-01-30 13:00:00,460.269
2019-01-30 14:00:00,492.325
2019-01-30 15:00:00,487.142
2019-01-30 16:00:00,443.979
2019-01-30 17:00:00,412.511
2019-01-30 18:00:00,375.513
2019-01-30 19:00:00,264.049
2019-01-30 20:00:00,211.972
2019-01-30 21:00:00,159.773
2019-01-30 22:00:00,147.525
2019-01-30 23:00:00,145.685
2019-01-31 00:00:00,138.497
2019-01-31 01:00:00,138.101
2019-01-31 02:00:00,135.963
2019-01-31 03:00:00,133.234
2019-01-31 04:00:00,127.306
2019-01-31 05:00:00,157.564
2019-01-31 06:00:00,172.872
2019-01-31 07:00:00,253.802
2019-01-31 08:00:00,385.141
2019-01-31 09:00:00,450.346
2019-01-31 10:00:00,455.648
2019-01-31 11:00:00,458.945
2019-01-31 12:00:00,473.147
2019-01-31 13:00:00,483.534
2019-01-31 14:00:00,464.008
2019-01-31 15:00:00,447.581
2019-01-31 16:00:00,425.341
2019-01-31 17:00:00,415.562
2019-01-31 18:00:00,352.353
2019-01-31 19:00:00,247.99
2019-01-31 20:00:00,206.128
2019-01-31 21:00:00,162.814
2019-01-31 22:00:00,143.406
2019-01-31 23:00:00,135.063
2019-02-01 00:00:00,107.08
2019-02-01 01:00:00,109.023
2019-02-01 02:00:00,109.115
2019-02-01 03:00:00,107.676
2019-02-01 04:00:00,105.913
2019-02-01 05:00:00,123.217
2019-02-01 06:00:00,136.847
2019-02-01 07:00:00,172.66
2019-02-01 08:00:00,262.801
2019-02-01 09:00:00,315.967
2019-02-01 10:00:00,360.3
